product,date,title,rating,body
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on October 3, 2018",Horrible,1.0,"Dog nanny part is useless. Doesn’t register my dog walker when she comes in. Even when she deliberately stands in front of it. She calls me so I can check the camera to prove she’s been there because we questioned it when the app wasn’t registering her presence.  It notifies me well after my dogs stops barking (I know as I’m in the house at the time). As a camera to log into and check on dog it’s great. Pictures good. Sounds good. Night visions good.  If you have a dog with separation anxiety like I do, and want  to be notified so you can check on them or talk them down from a freak out, don’t bother with this camera. When I asked customer service for help all the did was repeatedly ask me to log in and back out if the app and restart the camera."
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on July 19, 2017",Love this cool gadget,5.0,"Ever wonder what your friend is doing home alone? Now with this amazing gadget you can even send your furry friend a treat, this product is amazing I am so happy to be able to see and talk to my dog :)At first my dog barked at it but after a few treats it's like he hit the jackpot and catches the treat mid air."
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on February 3, 2019","Beware of ""unknown"" subscription fee and inability to delete video",3.0,"I love the unit, which is certainly expensive enough.  Two issues: be prepared for a monthly subscription fee to use the motion detection, which the unit is basically useless without, and video cannot be deleted by the user (stored in Furbo's cloud). If the camera happens to catch you walking around naked, for example, you can't delete the video. It'll stick around in the ""doggy diary"" for a week!!The premium subscription fee has not yet been finalized so it's free for 90 days... After that time, which is conveniently after the return date (!!), the fee will be charged... But we don't know how much it'll be.  They think between $5-10/month.  It is NOT worth $300 plus $120/year."
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on December 15, 2017",Fun device for dog lovers,5.0,"I got a Furbo for my girlfriend's family since they have two dogs at home. Even with the free shipping option it arrived very quickly. It was very easy to set up, my girlfriend's mom was able to set it up very quickly and get it going. The phone app paired quickly with the Furbo and they were able to use it right away. The audio was loud and clear and the dogs started paying attention to it once there were sounds. It's only been a few days, but overall the device looks good and it's been working well so far."
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on March 8, 2018",EDIT: Disappointed,5.0,"EDIT:I am very pleased with their customer support. We didn't get a working Furbo, and they sent us a new one.They also sent treats along with the new Furbo item.I am really glad it got resolved quickly.-----------------------------------------------------I was really expecting so much with this product.When I got the package , the box was beaten up, but did not bother with it that much because I was excited to unbox the item, but when I unboxed it, the furbo item itself looked like it had been used already (refer to the attached image) and was really dirty inside. It looked like it was just “repackaged.”I just realized that it has been already used because when I tried connecting the Furbo to my device, it said that the Furbo item is already connected to a different device.I paid for almost 300 CAD dollars for a used item.Im really really disappointed, I just hope I can get my money back or atleast get this resolved without any hassle.I was really expecting so much.."
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on April 21, 2018",Dumbest purchase I’ve made,1.0,Absolute waste of money. The noise is so loud and camera quality is awful. Microphone picks up everything so you get high pitch sounds in the background.
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on December 6, 2016",It's Gonna Change Your Life!,5.0,"I love this product. It's such a life savior, I can do everything Furbo promises! ONE SUGGESTION however, I'd LOVE to be able to pre-record messages and send them on command. When I'm at work and I see that my dog is barking, it's hard to start talking to him, so if I can send him recordings by pressing a button, that'd be AMAZING! Thank you for such a well-made product. I'm impressed."
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on May 10, 2019",GARBAGE,1.0,Do not buy this garbage. Horrible interface. Product broke. Customer service is terrible.Absolute aggravation. Would've been less stressful throwing the money out the window.
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on January 27, 2020","Good, not great",3.0,"I bought this for my dog who is only alone 2 work days a week, who started a bad habit of howling and barking. Living in an apartment I had to try to change that behavior. Unfortunately, the Furbo had zero effect on my dogs barking. My dog likes getting food throughout the day, but that's about it. My dog is smart enough to understand that even though he is hearing my voice and getting food, i'm not actually there. The positives about this is that while I'm out and about I know that he has something to keep him a little busy and I like knowing what he up to so I'm less worried about him. The device does what it says (gives treats ect.), but has it's limitations and has no affect on my dogs separation anxiety, i'v had it for 2 months now."
"Furbo Dog Camera: Treat Tossing, Full HD WiFi Pet Camera and 2-Way Audio, Designed for Dogs, Compatible with Alexa (As Seen On Ellen)","Reviewed in Canada on February 9, 2020",200$ for a 20$ camera,1.0,"Honestly, do not buy this. It's a waste of money.- First of all, it's 200$ upfront but then none of the features advertised are free - they want you to get a subscription.- Second, the camera quality is horrid, and worse than those cheap IP cameras you can get for under 20$ (you can at least remotely rotate those cameras).- Lastly, It doesn't toss treats very well, even though I'm using the treats they recommend.So what does Furbo do successfully? Nothing.Use that 200$ on better food for your dog or pay a more important bill with it, and get a 20$ camera on Amazon to see your dog when you're out, but I truly hope you don't spend it on this."
